id	cluster
monkeyc1g1s1	4
monkeyc1g1s2	4
monkeyc1g1s3	4
monkeyc1g1s4	4
monkeyc1g1s5	4
monkeyc1g1s6	4
monkeyc1g1s7	4
monkeyc1g1s8	4
monkeyc1g1s9	4
monkeyc1g1s10	4
monkeyc1g1s11	4
monkeyc1g1s12	4
monkeyc1g1s13	4
monkeyc1g1s14	4
monkeyc1g1s15	4
monkeyc1g1s16	4
monkeyc1g1s17	4
monkeyc1g1s18	4
monkeyc1g1s19	4
monkeyc1g1s20	4
monkeyc1g1s21	4
monkeyc1g1s22	4
monkeyc1g1s23	4
monkeyc1g1s24	4
monkeyc1g1s25	4
monkeyc1g1s26	4
monkeyc1g1s27	4
monkeyc1g1s28	4
monkeyc1g1s29	4
monkeyc1g1s30	4
monkeyc1g1s31	4
monkeyc1g1s32	4
monkeyc1g1s33	4
monkeyc1g1s34	4
monkeyc1g1s35	4
monkeyc1g1s36	4
monkeyc1g1s37	4
monkeyc1g1s38	4
monkeyc1g1s39	4
monkeyc1g1s40	4
monkeyc1g1s41	4
monkeyc1g1s42	4
monkeyc1g1s43	4
monkeyc1g1s44	4
monkeyc1g1s45	4
monkeyc1g1s46	4
monkeyc1g1s47	4
monkeyc1g1s48	4
monkeyc1g1s49	4
monkeyc1g1s50	4
monkeyc1g1s51	4
monkeyc1g1s52	4
monkeyc1g1s53	4
monkeyc1g1s54	4
monkeyc1g1s55	4
monkeyc1g1s56	4
monkeyc1g1s57	4
monkeyc1g1s58	4
monkeyc1g1s59	4
monkeyc1g1s60	4
monkeyc1g1s61	4
monkeyc1g1s62	4
monkeyc1g1s63	4
monkeyc1g1s64	4
monkeyc1g1s65	4
monkeyc1g1s66	4
monkeyc1g1s67	4
monkeyc1g1s68	4
monkeyc1g1s69	4
monkeyc1g1s70	4
monkeyc1g1s71	4
monkeyc1g1s72	4
monkeyc1g1s73	4
monkeyc1g1s74	4
monkeyc1g1s75	4
monkeyc1g1s76	4
monkeyc1g1s77	4
monkeyc1g1s78	4
monkeyc1g1s79	4
monkeyc1g1s80	4
monkeyc1g1s81	4
monkeyc1g1s82	4
monkeyc1g1s83	4
monkeyc1g1s84	4
monkeyc1g1s85	4
monkeyc1g1s86	4
monkeyc1g1s87	4
monkeyc1g1s88	4
monkeyc1g1s89	4
monkeyc1g1s90	4
monkeyc1g1s91	4
monkeyc1g1s92	4
monkeyc1g1s93	4
monkeyc1g1s94	4
monkeyc1g1s95	4
monkeyc1g1s96	4
monkeyc1g1s97	4
monkeyc1g1s98	4
monkeyc1g1s99	4
monkeyc1g1s100	4
monkeyc1g1s101	4
monkeyc1g1s102	4
monkeyc1g1s103	4
monkeyc1g1s104	4
monkeyc1g1s105	4
monkeyc1g1s106	4
monkeyc1g1s107	4
monkeyc1g1s108	4
monkeyc1g1s109	4
monkeyc1g1s110	4
monkeyc1g1s111	4
monkeyc1g1s112	4
monkeyc1g1s113	4
monkeyc1g1s114	4
monkeyc1g1s115	4
monkeyc1g1s116	4
monkeyc1g1s117	4
monkeyc1g1s118	4
monkeyc1g1s119	4
monkeyc1g1s120	4
monkeyc1g1s121	4
monkeyc1g1s122	4
monkeyc1g1s123	4
monkeyc1g1s124	4
monkeyc1g1s125	4
monkeyc1g1s126	4
monkeyc1g1s127	4
monkeyc1g1s128	4
monkeyc1g1s129	4
monkeyc1g1s130	4
monkeyc1g1s131	4
monkeyc1g1s132	4
monkeyc1g1s133	4
monkeyc1g1s134	4
monkeyc1g1s135	4
monkeyc1g1s136	4
monkeyc1g1s137	4
monkeyc1g1s138	4
monkeyc1g1s139	4
monkeyc1g1s140	4
monkeyc1g1s141	4
monkeyc1g1s142	4
monkeyc1g1s143	4
monkeyc1g1s144	4
monkeyc1g1s145	4
monkeyc1g1s146	4
monkeyc1g1s147	4
monkeyc1g1s148	4
monkeyc1g1s149	4
monkeyc1g1s150	4
monkeyc1g1s151	4
monkeyc1g1s152	4
monkeyc1g1s153	4
monkeyc1g1s154	4
monkeyc1g1s155	4
monkeyc1g1s156	4
monkeyc1g1s157	4
monkeyc1g1s158	4
monkeyc1g1s159	4
monkeyc1g1s160	4
monkeyc1g1s161	4
monkeyc1g1s162	4
monkeyc1g1s163	4
monkeyc1g1s164	4
monkeyc1g1s165	4
monkeyc1g1s166	4
monkeyc1g1s167	4
monkeyc1g1s168	4
monkeyc1g1s169	4
monkeyc1g1s170	4
monkeyc1g1s171	4
monkeyc1g1s172	4
monkeyc1g1s173	4
monkeyc1g1s174	4
monkeyc1g1s175	4
monkeyc1g1s176	4
monkeyc1g1s177	4
monkeyc1g1s178	4
monkeyc1g1s179	4
monkeyc1g1s180	4
monkeyc1g1s181	4
monkeyc1g1s182	4
monkeyc1g1s183	4
monkeyc1g1s184	4
monkeyc1g1s185	4
monkeyc1g1s186	4
monkeyc1g1s187	4
monkeyc1g1s188	4
monkeyc1g1s189	4
monkeyc1g1s190	4
monkeyc1g1s191	4
monkeyc1g1s192	4
monkeyc1g1s193	4
monkeyc1g1s194	4
monkeyc1g1s195	4
monkeyc1g1s196	4
monkeyc1g1s197	4
monkeyc1g1s198	4
monkeyc1g1s199	4
monkeyc1g1s200	4
monkeyc1g1s201	4
monkeyc1g1s202	4
monkeyc1g1s203	4
monkeyc1g1s204	4
monkeyc1g1s205	4
